City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,waipawa,NZ,-41.4122,175.5153,61.74,63,42,1.41,
339,tura,IN,25.5198,90.2201,76.08,81,2,3.62,
340,provideniya,RU,64.3833,-173.3,32.88,94,100,17.49,
341,bredasdorp,ZA,-34.5322,20.0403,60.39,92,18,12.01,
342,maceio,BR,-9.6658,-35.7353,74.64,88,20,3.44,
343,yaan,NG,7.3833,8.5667,78.58,74,100,3.24,
344,christchurch,NZ,-43.5333,172.6333,67.41,62,35,11.5,
345,leningradskiy,RU,69.3833,178.4167,-4.86,86,100,6.29,
346,mazyr,BY,52.0495,29.2456,37.85,94,100,6.4,
347,pelym,RU,61.0108,61.9978,33.39,98,100,7.14,
348,hovd,MN,48.0056,91.6419,30.92,40,1,2.98,
349,kaitangata,NZ,-46.2817,169.8464,62.94,51,7,7.76,
350,qandala,SO,11.472,49.8728,81.73,58,100,5.53,
351,ranfurly,NZ,-45.1333,170.1,65.1,53,14,3.13,
352,nikolskoye,RU,59.7035,30.7861,33.71,97,48,5.79,
353,priladozhskiy,RU,59.85,31.4833,31.53,1,98,7.99,
354,ponta do sol,PT,32.6667,-17.1,62.01,75,34,7.87,
355,yumen,CN,40.2833,97.2,55.42,19,100,12.26,
356,chuy,UY,-33.6971,-53.4616,64.76,92,23,7.85,
357,pacific grove,US,36.6177,-121.9166,68.45,70,0,10.36,
358,beloha,MG,-25.1667,45.05,72.72,83,93,13.4,
359,marsa matruh,EG,31.3525,27.2453,59.58,76,18,4.23,
360,bairiki,KI,1.3292,172.9752,86.0,74,75,10.36,
361,ust-maya,RU,60.4167,134.5333,30.49,74,100,7.96,
362,kapaa,US,22.0752,-159.319,82.38,78,20,13.8,
363,bengkulu,ID,-3.8004,102.2655,82.74,69,44,0.76,
364,kerema,PG,-7.9631,145.7785,83.37,79,100,9.15,
365,east london,ZA,-33.0153,27.9116,64.85,90,98,17.47,
366,puerto colombia,CO,10.9878,-74.9547,80.69,85,39,28.86,
367,olafsvik,IS,64.8945,-23.7142,37.71,94,100,28.86,
368,tias,ES,28.9611,-13.645,58.68,82,0,6.91,
369,ilulissat,GL,69.2167,-51.1,6.82,72,90,3.44,
370,avarua,CK,-21.2078,-159.775,84.25,74,20,8.05,
371,thompson,CA,55.7435,-97.8558,33.96,93,100,5.75,
372,sao filipe,CV,14.8961,-24.4956,74.61,68,9,15.52,
373,hamilton,US,39.1834,-84.5333,40.84,73,100,4.61,
374,udachnyy,RU,66.4167,112.4,19.35,79,29,2.75,
375,novyy urengoy,RU,66.0833,76.6333,2.55,91,87,3.67,
376,almaznyy,RU,48.0448,40.045,46.72,87,99,7.56,
377,norman wells,CA,65.282,-126.8329,13.93,87,100,13.65,
378,novikovo,RU,51.1537,37.8879,49.42,83,100,11.25,
379,hue,VN,16.4667,107.6,77.11,73,20,2.3,
380,kemin,KG,42.7846,75.6892,56.17,69,66,7.43,
381,tilichiki,RU,60.4667,166.1,24.82,72,67,7.85,
382,flin flon,CA,54.7682,-101.865,34.74,97,100,4.16,
383,oppdal,NO,62.5943,9.6912,26.71,98,100,6.04,
384,luangwa,ZM,-15.6167,30.4167,68.94,93,83,4.21,
385,cardston,CA,49.2,-113.3019,35.78,44,100,17.92,
386,barrow,US,71.2906,-156.7887,-5.78,71,0,8.05,
387,hilo,US,19.7297,-155.09,73.26,94,100,6.91,
388,gat,IL,31.61,34.7642,63.39,81,3,5.61,
389,progreso,MX,21.2833,-89.6667,73.51,56,91,15.23,
390,arcata,US,40.8665,-124.0828,53.67,70,0,23.02,
391,aksay,RU,47.26,39.87,47.25,80,92,4.0,
392,santa maria,BR,-29.6842,-53.8069,63.16,97,11,4.92,
393,codrington,AU,-38.2667,141.9667,79.84,36,100,17.56,
394,kamina,CD,-8.7386,24.9906,62.08,98,100,3.09,
395,imeni poliny osipenko,RU,52.4201,136.4853,29.77,92,99,4.18,
396,puerto ayora,EC,-0.7393,-90.3518,78.39,85,58,5.61,
397,boundiali,CI,9.5217,-6.4869,80.62,57,96,8.1,
398,bauchi,NG,10.5,10.0,77.02,67,100,7.27,
399,khandyga,RU,62.6667,135.6,28.35,80,100,5.12,
400,patitirion,GR,39.15,23.8667,62.38,74,15,11.61,
401,saint-leu,RE,-21.15,55.2833,76.06,77,8,9.31,
402,leiyang,CN,26.4024,112.8591,76.87,51,99,5.21,
403,port hardy,CA,50.6996,-127.4199,39.9,73,100,14.05,
404,jamestown,US,42.097,-79.2353,35.19,49,100,8.05,
405,bambous virieux,MU,-20.3428,57.7575,77.25,88,75,11.5,
406,nanortalik,GL,60.1432,-45.2371,30.06,79,85,4.21,
407,khandbari,NP,27.3747,87.2039,68.68,72,61,0.36,
408,cabo san lucas,MX,22.8909,-109.9124,74.5,75,0,16.11,
409,marzuq,YE,14.4,46.4667,65.46,38,0,5.23,
410,rafiganj,IN,24.8167,84.65,86.14,14,0,3.09,
411,champerico,GT,14.3,-91.9167,83.34,73,100,8.72,
412,esperance,AU,-33.8667,121.9,61.88,59,84,12.93,
413,zhangye,CN,38.9342,100.4517,60.33,22,2,11.99,
414,calvia,ES,39.5657,2.5062,54.91,74,86,11.23,
415,talnakh,RU,69.4865,88.3972,-3.8,94,97,2.98,
416,tiksi,RU,71.6872,128.8694,-7.31,94,70,7.16,broken clouds
417,punta arenas,CL,-53.15,-70.9167,46.51,76,75,11.5,broken clouds
418,busselton,AU,-33.65,115.3333,64.26,73,76,15.46,broken clouds
419,lorengau,PG,-2.0226,147.2712,84.83,72,80,9.31,broken clouds
420,lebu,CL,-37.6167,-73.65,50.22,82,21,3.2,few clouds
421,geraldton,AU,-28.7667,114.6,66.61,72,75,13.8,broken clouds
422,manaus,BR,-3.1019,-60.025,77.49,88,0,5.75,clear sky
423,vaini,TO,-21.2,-175.2,84.36,79,40,8.05,scattered clouds
424,butaritari,KI,3.0707,172.7902,80.47,81,98,13.09,moderate rain
425,cervo,ES,43.6702,-7.4101,52.09,78,100,4.45,overcast clouds
426,saint-philippe,RE,-21.3585,55.7679,76.59,85,57,12.15,light rain
427,atuona,PF,-9.8,-139.0333,79.47,72,6,19.15,clear sky
